pdb_id,entity_id,journal,journal_volume,journal_first_page,journal_last_page,citation_title,citation_doi,journal_page,citation_year,pubmed_id,citation_authors,status,revision_date,release_date,processing_site,deposition_site,deposition_date,superseded_by,obsoletes,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph
5vib,1,Chembiochem,,,,Design of aminobenzothiazole inhibitors of Rho Kinases 1 and 2 utilizing PKA as a structure surrogate.,10.1002/cbic.201700547,,2018,29314498,"Judge\, R.,Scott\, V.,Simler\, G.,Pratt\, S.,Namovic\, M.,Putman\, B.,Aguirre\, A.,Stoll\, V.,Mamo\, M.,Swann\, S.,Hobson\, A.D.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-04-14T01:00:00Z,,,PF00069,Pkinase,PKinase,Protein kinase domain,,,,,,,,2.7.11.11,cAMP-dependent protein kinase,ATP:protein phosphotransferase (cAMP-dependent),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,cAMP-dependent protein kinase",,,,,,,,,P00517,KAPCA_BOVIN,1.0,,,X-ray diffraction,y,Crystal structure of Protein Kinase A in complex with the PKI peptide and Aminobenzothiazole based inhibitors,"Judge\, R.A.",Engineered,Pixel,DECTRIS PILATUS 6M,17-BM,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,APS,,,,MR,,,,
6b1a,1,J. Med. Chem.,,,,Discovery of Bisubstrate Inhibitors of Nicotinamide N-Methyltransferase (NNMT).,10.1021/acs.jmedchem.7b01422,,2018,29320176,"Babault\, N.,Allali-Hassani\, A.,Li\, F.,Fan\, J.,Yue\, A.,Ju\, K.,Liu\, F.,Vedadi\, M.,Liu\, J.,Jin\, J.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-09-18T01:00:00Z,,,PF01234,NNMT_PNMT_TEMT,NADP_Rossmann,NNMT/PNMT/TEMT family,,,,,,,,2.1.1.1,Nicotinamide N-methyltransferase,S-adenosyl-L-methionine:nicotinamide N-methyltransferase,"Transferases,Transferring one-carbon groups,Methyltransferases,Nicotinamide N-methyltransferase",,,,,,,,,P40261,NNMT_HUMAN,"1.0,1.0,1.0,1.0",,,X-ray diffraction,y,Structure of human NNMT in complex with bisubstrate inhibitor MS2756,"Jin\, J.,Babault\, N.,Liu\, J.",Engineered,Pixel,DECTRIS EIGER X 16M,24-ID-E,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 1,,APS,,,,,,,,
5uii,1,To be published,,,,structure of DHFR with bound buformin and NADP,,,,,"Pedersen\, L.C.,London\, R.E.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-01-14T01:00:00Z,,,,,,,,,,,,,,1.5.1.3,Dihydrofolate reductase,"5\,6\,7\,8-tetrahydrofolate:NADP(+) oxidoreductase","Oxidoreductases,Acting on the CH-NH group of donors,With NAD(+) or NADP(+) as acceptor,Dihydrofolate reductase",,,,,,,,,P0ABQ4,DYR_ECOLI,0.99,,,X-ray diffraction,y,structure of DHFR with bound buformin and NADP,"Pedersen\, L.C.,London\, R.E.",Engineered,CCD,RIGAKU SATURN 92,,Rotating anode,Single wavelength,MOLECULAR REPLACEMENT,,C 1 2 1,,,,,,,,,,
6c26,1,Nature,,,,The atomic structure of a eukaryotic oligosaccharyltransferase complex,10.1038/nature25755,,2018,,"Bai\, L.,Wang\, T.,Zhao\, G.,Kovach\, A.,Li\, H.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2018-01-06T01:00:00Z,,,PF02516,STT3,GT-C,Oligosaccharyl transferase STT3 subunit,,,,,,,,2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase,Dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase,"Transferases,Glycosyltransferases,Transferring other glycosyl groups,Dolichyl-diphosphooligosaccharide--protein glycotransferase",,,,,,,,,P39007,STT3_YEAST,1.0,,emd-7336,Electron Microscopy,,The Cryo-EM structure of a eukaryotic oligosaccharyl transferase complex,"Bai\, L.,Li\, H.",Natural,,,,,,,,P 1,,,,,,,,,,
6c26,7,Nature,,,,The atomic structure of a eukaryotic oligosaccharyltransferase complex,10.1038/nature25755,,2018,,"Bai\, L.,Wang\, T.,Zhao\, G.,Kovach\, A.,Li\, H.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2018-01-06T01:00:00Z,,,PF05817,Ribophorin_II,,Oligosaccharyltransferase subunit Ribophorin II,,,,,,,,2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase,Dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase,"Transferases,Glycosyltransferases,Transferring other glycosyl groups,Dolichyl-diphosphooligosaccharide--protein glycotransferase",,,,,,,,,Q02795,OSTD_YEAST,1.0,,emd-7336,Electron Microscopy,,The Cryo-EM structure of a eukaryotic oligosaccharyl transferase complex,"Bai\, L.,Li\, H.",Natural,,,,,,,,P 1,,,,,,,,,,
6bw8,1,J. Med. Chem.,,,,Optimization of Potent and Selective Tricyclic Indole Diazepinone Myeloid Cell Leukemia-1 (Mcl-1) Inhibitors Using Structure-Based Design.,10.1021/acs.jmedchem.7b01155,,2018,29323899,"Shaw\, S.,Bian\, Z.,Zhao\, B.,Tarr\, J.C.,Veerasamy\, N.,Jeon\, K.,Belmar\, J.,Arnold\, A.L.,Fogarty\, S.A.,Perry\, E.,Sensintaffar\, J.L.,Camper\, D.V.,Rossanese\, O.W.,Lee\, T.,Olejniczak\, E.T.,Fesik\, S.W.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-12-14T01:00:00Z,,,PF00452,Bcl-2,BCLiA,"Apoptosis regulator proteins\, Bcl-2 family",,,,,,,,,,,,,,,,,,,,Q07820,MCL1_HUMAN,"0.45,0.45,0.45,0.45",,,X-ray diffraction,y,Mcl-1 complexed with small molecules,"Zhao\, B.",Engineered,CCD,RAYONIX MX300HE,21-ID-F,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 1 21 1,,APS,,,,,,,,
6ark,1,J Chem Inf Model,,,,Novel K-Ras G12C Switch-II covalent binders destabilize Ras and accelerate nucleotide exchange.,10.1021/acs.jcim.7b00399,,2018,29320178,"Nnadi\, C.I.,Jenkins\, M.L.,Gentile\, D.R.,Bateman\, L.A.,Zaidman\, D.,Balius\, T.E.,Nomura\, D.K.,Burke\, J.E.,Shokat\, K.M.,London\, N.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-08-22T01:00:00Z,,,PF00071,Ras,P-loop_NTPase,Ras family,,,,,,,,,,,,,,,,,,,,P01116,RASK_HUMAN,0.89,,,X-ray diffraction,y,Crystal Structure of compound 10 covalently bound to K-Ras G12C,"Zaidman\, D.,Nnadi\, C.I.,Burke\, J.E.,Balius\, T.E.,Shokat\, K.M.,Jenkins\, M.L.,Nomura\, D.K.,London\, N.,Gentile\, D.R.,Bateman\, L.A.",Engineered,CCD,ADSC QUANTUM 315r,8.2.1,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,H 3 2,,ALS,,,,MR,,,,
5vi9,1,Chembiochem,,,,Design of aminobenzothiazole inhibitors of Rho Kinases 1 and 2 utilizing PKA as a structure surrogate.,10.1002/cbic.201700547,,2018,29314498,"Judge\, R.,Scott\, V.,Simler\, G.,Pratt\, S.,Namovic\, M.,Putman\, B.,Aguirre\, A.,Stoll\, V.,Mamo\, M.,Swann\, S.,Hobson\, A.D.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2017-04-14T01:00:00Z,,,PF00069,Pkinase,PKinase,Protein kinase domain,,,,,,,,2.7.11.11,cAMP-dependent protein kinase,ATP:protein phosphotransferase (cAMP-dependent),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,cAMP-dependent protein kinase",,,,,,,,,P00517,KAPCA_BOVIN,1.0,,,X-ray diffraction,y,Crystal structure of Protein Kinase A in complex with the PKI peptide and Aminobenzothiazole based inhibitors,"Judge\, R.A.",Engineered,Pixel,DECTRIS PILATUS 6M,17-ID,Synchrotron,Single wavelength,MOLECULAR REPLACEMENT,,P 21 21 21,,APS,,,,MR,,,,
6c26,3,Nature,,,,The atomic structure of a eukaryotic oligosaccharyltransferase complex,10.1038/nature25755,,2018,,"Bai\, L.,Wang\, T.,Zhao\, G.,Kovach\, A.,Li\, H.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2018-01-06T01:00:00Z,,,PF05251,Ost5,,Oligosaccharyltransferase subunit 5,,,,,,,,2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase,Dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase,"Transferases,Glycosyltransferases,Transferring other glycosyl groups,Dolichyl-diphosphooligosaccharide--protein glycotransferase",,,,,,,,,Q92316,OST5_YEAST,1.0,,emd-7336,Electron Microscopy,,The Cryo-EM structure of a eukaryotic oligosaccharyl transferase complex,"Bai\, L.,Li\, H.",Natural,,,,,,,,P 1,,,,,,,,,,
6c26,4,Nature,,,,The atomic structure of a eukaryotic oligosaccharyltransferase complex,10.1038/nature25755,,2018,,"Bai\, L.,Wang\, T.,Zhao\, G.,Kovach\, A.,Li\, H.",REL,2018-01-31T01:00:00Z,2018-01-31T01:00:00Z,RCSB,RCSB,2018-01-06T01:00:00Z,,,PF10215,Ost4,,Oligosaccaryltransferase,,,,,,,,2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase,Dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase,"Transferases,Glycosyltransferases,Transferring other glycosyl groups,Dolichyl-diphosphooligosaccharide--protein glycotransferase",,,,,,,,,Q99380,OST4_YEAST,1.0,,emd-7336,Electron Microscopy,,The Cryo-EM structure of a eukaryotic oligosaccharyl transferase complex,"Bai\, L.,Li\, H.",Natural,,,,,,,,P 1,,,,,,,,,,
